goos: linux
goarch: amd64
pkg: github.com/Overclock-Validator/narya-ed25519/ed25519
cpu: AMD Ryzen 7 9700X 8-Core Processor             
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-expanded-loop/n=8/msg=1232 	   15506	    154807 ns/op	     51677 sig/s	        19.35 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-expanded-loop/n=8/msg=1232 	   15506	    154768 ns/op	     51690 sig/s	        19.35 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=narya-r51-dispatch/n=64/msg=1232        	    9177	    262185 ns/op	    244102 sig/s	         4.097 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=narya-r51-dispatch/n=64/msg=1232        	    9151	    262164 ns/op	    244122 sig/s	         4.096 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=narya-r51-dispatch/n=64/msg=1232        	    9152	    262330 ns/op	    243967 sig/s	         4.099 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=narya-r51-dispatch/n=64/msg=1232        	    9156	    262024 ns/op	    244253 sig/s	         4.094 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=narya-r51-dispatch/n=64/msg=1232        	    9160	    261922 ns/op	    244347 sig/s	         4.093 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=narya-r51-dispatch/n=64/msg=1232        	    9158	    262008 ns/op	    244267 sig/s	         4.094 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=go-stdlib-loop/n=64/msg=1232            	    1351	   1771822 ns/op	     36121 sig/s	        27.68 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=go-stdlib-loop/n=64/msg=1232            	    1352	   1771199 ns/op	     36134 sig/s	        27.67 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=go-stdlib-loop/n=64/msg=1232            	    1353	   1771261 ns/op	     36132 sig/s	        27.68 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=go-stdlib-loop/n=64/msg=1232            	    1354	   1771388 ns/op	     36130 sig/s	        27.68 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=go-stdlib-loop/n=64/msg=1232            	    1354	   1771030 ns/op	     36137 sig/s	        27.67 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=go-stdlib-loop/n=64/msg=1232            	    1352	   1771472 ns/op	     36128 sig/s	        27.68 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-cold-loop/n=64/msg=1232    	    1692	   1417971 ns/op	     45135 sig/s	        22.16 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-cold-loop/n=64/msg=1232    	    1690	   1419080 ns/op	     45100 sig/s	        22.17 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-cold-loop/n=64/msg=1232    	    1692	   1418219 ns/op	     45127 sig/s	        22.16 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-cold-loop/n=64/msg=1232    	    1692	   1418213 ns/op	     45127 sig/s	        22.16 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-cold-loop/n=64/msg=1232    	    1690	   1418074 ns/op	     45132 sig/s	        22.16 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-cold-loop/n=64/msg=1232    	    1690	   1418518 ns/op	     45118 sig/s	        22.16 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-expanded-loop/n=64/msg=1232         	    1935	   1239334 ns/op	     51641 sig/s	        19.36 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-expanded-loop/n=64/msg=1232         	    1936	   1238952 ns/op	     51657 sig/s	        19.36 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-expanded-loop/n=64/msg=1232         	    1936	   1239070 ns/op	     51652 sig/s	        19.36 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-expanded-loop/n=64/msg=1232         	    1935	   1238643 ns/op	     51669 sig/s	        19.35 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-expanded-loop/n=64/msg=1232         	    1936	   1239001 ns/op	     51655 sig/s	        19.36 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-expanded-loop/n=64/msg=1232         	    1935	   1238989 ns/op	     51655 sig/s	        19.36 µs/sig	       0 B/op	       0 allocs/op
PASS
