goos: linux
goarch: amd64
pkg: github.com/Overclock-Validator/narya-ed25519/ed25519
cpu: AMD Ryzen 7 9700X 8-Core Processor             
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=8        	   34161	     35117 ns/op	 280.66 MB/s	    227809 signatures/s	   1243136 table-bytes	         4.390 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=8        	   34176	     35110 ns/op	 280.72 MB/s	    227855 signatures/s	   1243136 table-bytes	         4.389 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=8        	   34168	     35107 ns/op	 280.74 MB/s	    227877 signatures/s	   1243136 table-bytes	         4.388 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=8        	   34160	     35111 ns/op	 280.71 MB/s	    227849 signatures/s	   1243136 table-bytes	         4.389 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=8        	   34180	     35104 ns/op	 280.77 MB/s	    227894 signatures/s	   1243136 table-bytes	         4.388 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=8        	   34174	     35111 ns/op	 280.71 MB/s	    227847 signatures/s	   1243136 table-bytes	         4.389 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=64       	    4596	    260826 ns/op	 302.30 MB/s	    245374 signatures/s	   1243136 table-bytes	         4.075 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=64       	    4593	    260855 ns/op	 302.27 MB/s	    245347 signatures/s	   1243136 table-bytes	         4.076 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=64       	    4600	    260774 ns/op	 302.36 MB/s	    245424 signatures/s	   1243136 table-bytes	         4.075 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=64       	    4600	    260882 ns/op	 302.24 MB/s	    245321 signatures/s	   1243136 table-bytes	         4.076 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
