goos: linux
goarch: amd64
pkg: github.com/Overclock-Validator/narya-ed25519/ed25519
cpu: AMD Ryzen 7 9700X 8-Core Processor             
BenchmarkR51IFMAPartialX8TailCompletePipeline/path=x4/n=4/msg=4096                  	   52248	     45940 ns/op	        11.48 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAPartialX8TailCompletePipeline/path=x4-wide-hash/n=4/msg=4096        	   64078	     37465 ns/op	         9.366 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAPartialX8TailCompletePipeline/path=x4-wide-hash/n=4/msg=4096        	   64058	     37463 ns/op	         9.366 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAPartialX8TailCompletePipeline/path=x4-wide-hash/n=4/msg=4096        	   64058	     37465 ns/op	         9.366 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAPartialX8TailCompletePipeline/path=x4-wide-hash/n=4/msg=4096        	   64044	     37466 ns/op	         9.367 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAPartialX8TailCompletePipeline/path=x4-wide-hash/n=4/msg=4096        	   64069	     37467 ns/op	         9.367 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAPartialX8TailCompletePipeline/path=x4-wide-hash/n=4/msg=4096        	   64045	     37498 ns/op	         9.374 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAPartialX8TailCompletePipeline/path=x4-wide-hash/n=4/msg=4096        	   63997	     37505 ns/op	         9.376 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAPartialX8TailCompletePipeline/path=x4-wide-hash/n=4/msg=4096        	   64008	     37485 ns/op	         9.371 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAPartialX8TailCompletePipeline/path=x4-wide-hash/n=4/msg=4096        	   64032	     37501 ns/op	         9.375 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAPartialX8TailCompletePipeline/path=x4-wide-hash/n=4/msg=4096        	   64034	     37467 ns/op	         9.367 us/signature	       0 B/op	       0 allocs/op
PASS
